postcode,Total Customers,Total Spent,Avg Spent,Total Orders,Avg Orders,Total Items,Avg Items,Returning Customers,Returning Customers Rate
21029,1,128.62,128.62,1,1.0,1,1.0,0,0.0
21754-8641,1,92.45,92.45,1,1.0,2,2.0,0,0.0
30342,1,224.57,224.57,2,2.0,4,4.0,1,100.0
21401-3212,1,76.18,76.18,1,1.0,1,1.0,0,0.0
33957,1,146.78,146.78,1,1.0,1,1.0,0,0.0
20880,1,59.0,59.0,1,1.0,1,1.0,0,0.0
10580,1,391.41,391.41,3,3.0,25,25.0,1,100.0
15541,1,84.34,84.34,1,1.0,1,1.0,0,0.0
44224,1,179.73,179.73,1,1.0,3,3.0,0,0.0
20015-1352,1,67.17,67.17,1,1.0,3,3.0,0,0.0
95818-3123,1,124.54,124.54,1,1.0,1,1.0,0,0.0
20008,1,1418.65,1418.65,15,15.0,30,30.0,1,100.0
49723,1,215.19,215.19,3,3.0,5,5.0,1,100.0
21742,1,140.0,140.0,5,5.0,5,5.0,1,100.0
20003,1,56.32,56.32,1,1.0,1,1.0,0,0.0
11249,1,99.09,99.09,1,1.0,1,1.0,0,0.0
19446,1,319.15,319.15,3,3.0,12,12.0,1,100.0
13142,1,81.58,81.58,1,1.0,4,4.0,0,0.0
06089,1,172.47,172.47,2,2.0,4,4.0,1,100.0
22812,1,118.0,118.0,2,2.0,2,2.0,1,100.0
53217,1,850.2,850.2,15,15.0,15,15.0,1,100.0
21201,1,88.86,88.86,1,1.0,1,1.0,0,0.0
53132-8146,1,72.44,72.44,1,1.0,3,3.0,0,0.0
85750,1,133.19,133.19,1,1.0,1,1.0,0,0.0
15143,1,97.49,97.49,1,1.0,1,1.0,0,0.0
98108,1,300.42,300.42,1,1.0,4,4.0,0,0.0
21044,1,163.45,163.45,1,1.0,4,4.0,0,0.0
68521,1,62.05,62.05,1,1.0,1,1.0,0,0.0
21013,1,110.03,110.03,2,2.0,5,5.0,1,100.0
20132,1,772.64,772.64,13,13.0,16,16.0,1,100.0
21209,1,207.0,207.0,4,4.0,4,4.0,1,100.0
21144,1,50.0,50.0,2,2.0,2,2.0,1,100.0
12754,1,96.31,96.31,1,1.0,1,1.0,0,0.0
44141,1,273.81,273.81,3,3.0,12,12.0,1,100.0
18901,1,78.18,78.18,1,1.0,1,1.0,0,0.0
20010,1,155.99,155.99,2,2.0,9,9.0,1,100.0
77840,1,106.59,106.59,1,1.0,1,1.0,0,0.0
22310,1,594.0,594.0,8,8.0,8,8.0,1,100.0
95472,1,87.95,87.95,1,1.0,4,4.0,0,0.0
20685,1,71.32,71.32,1,1.0,1,1.0,0,0.0
87031,1,42.86,42.86,1,1.0,1,1.0,0,0.0
21561,1,94.43,94.43,1,1.0,2,2.0,0,0.0
08055,1,229.21,229.21,3,3.0,7,7.0,1,100.0
30064,1,76.91,76.91,1,1.0,4,4.0,0,0.0
12477,1,150.0,150.0,2,2.0,2,2.0,1,100.0
15748,1,103.18,103.18,1,1.0,1,1.0,0,0.0
48069,1,462.24,462.24,4,4.0,9,9.0,1,100.0
01451,1,85.8,85.8,1,1.0,6,6.0,0,0.0
02467,1,183.32,183.32,1,1.0,1,1.0,0,0.0
77533-0099,1,126.79,126.79,1,1.0,6,6.0,0,0.0
20723-5737,1,90.8,90.8,1,1.0,3,3.0,0,0.0
21557,1,219.26,219.26,2,2.0,10,10.0,1,100.0
22480,1,75.93,75.93,2,2.0,9,9.0,1,100.0
15301,1,144.75,144.75,1,1.0,1,1.0,0,0.0
78732,1,100.06,100.06,1,1.0,6,6.0,0,0.0
18018,1,362.44,362.44,2,2.0,6,6.0,1,100.0
85340,1,174.89,174.89,1,1.0,1,1.0,0,0.0
15022,1,66.72,66.72,1,1.0,1,1.0,0,0.0
94110,1,119.0,119.0,1,1.0,5,5.0,0,0.0
21228,1,942.15,942.15,14,14.0,17,17.0,1,100.0
01833,1,74.15,74.15,1,1.0,2,2.0,0,0.0
17050-9203,1,138.48,138.48,1,1.0,1,1.0,0,0.0
20136,1,53.96,53.96,1,1.0,3,3.0,0,0.0
20007-1017,1,98.62,98.62,1,1.0,6,6.0,0,0.0
26726,1,312.44,312.44,4,4.0,12,12.0,1,100.0
85013,1,80.95,80.95,1,1.0,5,5.0,0,0.0
97230,1,168.9,168.9,2,2.0,11,11.0,1,100.0
12919,1,64.31,64.31,2,2.0,6,6.0,1,100.0
26508,1,117.38,117.38,1,1.0,1,1.0,0,0.0
22308,1,211.08,211.08,1,1.0,2,2.0,0,0.0
21740,1,71.64,71.64,1,1.0,1,1.0,0,0.0
21286-1502,1,132.13,132.13,2,2.0,2,2.0,1,100.0
78063,1,51.18,51.18,1,1.0,1,1.0,0,0.0
15401,1,297.0,297.0,4,4.0,4,4.0,1,100.0
31404,1,79.94,79.94,1,1.0,6,6.0,0,0.0
21403,1,158.48,158.48,1,1.0,1,1.0,0,0.0
21617,1,108.14,108.14,1,1.0,5,5.0,0,0.0
19454,1,693.0,693.0,8,8.0,8,8.0,1,100.0
63146,1,88.7,88.7,1,1.0,1,1.0,0,0.0
25427,1,204.87,204.87,2,2.0,16,16.0,1,100.0
22620,1,47.86,47.86,1,1.0,1,1.0,0,0.0
23176,1,251.05,251.05,2,2.0,17,17.0,1,100.0
99603,1,77.74,77.74,1,1.0,1,1.0,0,0.0
21217-4104,1,152.63,152.63,1,1.0,2,2.0,0,0.0
08080,1,105.98,105.98,2,2.0,2,2.0,1,100.0
17225,1,506.21,506.21,6,6.0,6,6.0,1,100.0
21531,1,190.0,190.0,6,6.0,6,6.0,1,100.0
04108,1,69.3,69.3,1,1.0,4,4.0,0,0.0
15437,1,129.0,129.0,1,1.0,1,1.0,0,0.0
35242,1,225.0,225.0,3,3.0,3,3.0,1,100.0
06851-6138,1,146.81,146.81,1,1.0,1,1.0,0,0.0
95864,1,59.0,59.0,1,1.0,1,1.0,0,0.0
08844,1,101.93,101.93,1,1.0,7,7.0,0,0.0
07934,1,391.9,391.9,4,4.0,6,6.0,1,100.0
21562-1706,1,84.86,84.86,1,1.0,3,3.0,0,0.0
07081,1,67.64,67.64,1,1.0,4,4.0,0,0.0
17331,1,124.7,124.7,2,2.0,3,3.0,1,100.0
33936,1,2631.94,2631.94,25,25.0,154,154.0,1,100.0
55110,1,215.63,215.63,1,1.0,4,4.0,0,0.0
26330,1,75.0,75.0,1,1.0,1,1.0,0,0.0
01864,1,100.0,100.0,1,1.0,1,1.0,0,0.0
12964,1,331.2,331.2,7,7.0,7,7.0,1,100.0
20148,1,172.64,172.64,1,1.0,10,10.0,0,0.0
12443,1,65.16,65.16,1,1.0,3,3.0,0,0.0
26104,1,118.0,118.0,3,3.0,3,3.0,1,100.0
22401,1,872.89,872.89,7,7.0,31,31.0,1,100.0
21777,1,133.19,133.19,1,1.0,1,1.0,0,0.0
19425,1,97.59,97.59,1,1.0,4,4.0,0,0.0
23238,1,304.82,304.82,3,3.0,14,14.0,1,100.0
55118,1,164.0,164.0,2,2.0,4,4.0,1,100.0
21045-1902,1,62.42,62.42,1,1.0,3,3.0,0,0.0
37804,1,778.0,778.0,12,12.0,12,12.0,1,100.0
22508,1,88.86,88.86,1,1.0,1,1.0,0,0.0
22180-4646,1,207.0,207.0,4,4.0,4,4.0,1,100.0
62521,1,130.0,130.0,1,1.0,1,1.0,0,0.0
60640,1,276.0,276.0,6,6.0,6,6.0,1,100.0
19711-3150,1,78.58,78.58,1,1.0,3,3.0,0,0.0
21545,1,156.91,156.91,1,1.0,9,9.0,0,0.0
04330,1,61.32,61.32,1,1.0,2,2.0,0,0.0
06117,1,107.04,107.04,1,1.0,6,6.0,0,0.0
08879,1,602.98,602.98,7,7.0,13,13.0,1,100.0
20001,1,199.9,199.9,1,1.0,10,10.0,0,0.0
01867,1,71.32,71.32,1,1.0,1,1.0,0,0.0
21601-7486,1,42.99,42.99,1,1.0,1,1.0,0,0.0
21078,1,95.78,95.78,1,1.0,3,3.0,0,0.0
19087,1,234.54,234.54,3,3.0,3,3.0,1,100.0
18940,1,76.95,76.95,1,1.0,7,7.0,0,0.0
08514,1,150.19,150.19,1,1.0,1,1.0,0,0.0
14850,1,478.28,478.28,7,7.0,7,7.0,1,100.0
33572,1,86.03,86.03,1,1.0,4,4.0,0,0.0
26260,1,184.1,184.1,2,2.0,5,5.0,1,100.0
21830,1,68.43,68.43,1,1.0,1,1.0,0,0.0
89521,1,127.06,127.06,1,1.0,13,13.0,0,0.0
60451,1,91.3,91.3,1,1.0,4,4.0,0,0.0
20770,1,220.99,220.99,1,1.0,5,5.0,0,0.0
08525,1,145.17,145.17,1,1.0,7,7.0,0,0.0
20901-1519,1,58.5,58.5,1,1.0,1,1.0,0,0.0
20815,1,100.24,100.24,1,1.0,1,1.0,0,0.0
21122,1,370.45,370.45,3,3.0,3,3.0,1,100.0
23510,1,176.77,176.77,1,1.0,13,13.0,0,0.0
89118,1,120.98,120.98,1,1.0,7,7.0,0,0.0
06517,1,951.75,951.75,6,6.0,34,34.0,1,100.0
28460,1,15.99,15.99,1,1.0,1,1.0,0,0.0
15235,1,74.18,74.18,1,1.0,1,1.0,0,0.0
21214,1,139.32,139.32,1,1.0,2,2.0,0,0.0
19010,1,55.1,55.1,1,1.0,1,1.0,0,0.0
53158,1,98.62,98.62,1,1.0,4,4.0,0,0.0
62220,1,313.27,313.27,3,3.0,9,9.0,1,100.0
20744,1,81.15,81.15,1,1.0,4,4.0,0,0.0
20678,1,171.45,171.45,1,1.0,2,2.0,0,0.0
36526,1,117.38,117.38,1,1.0,3,3.0,0,0.0
26501-6449,1,834.29,834.29,8,8.0,9,9.0,1,100.0
15217-1055,1,88.86,88.86,1,1.0,1,1.0,0,0.0
85251,1,212.86,212.86,2,2.0,9,9.0,1,100.0
21550-1517,1,71.64,71.64,1,1.0,1,1.0,0,0.0
11101,1,132.64,132.64,1,1.0,2,2.0,0,0.0
06032,1,52.99,52.99,1,1.0,1,1.0,0,0.0
21076,1,97.13,97.13,1,1.0,1,1.0,0,0.0
21206,1,297.0,297.0,4,4.0,4,4.0,1,100.0
30736,1,79.99,79.99,1,1.0,1,1.0,0,0.0
44001,1,159.58,159.58,2,2.0,2,2.0,1,100.0
19709,1,695.0,695.0,10,10.0,10,10.0,1,100.0
15212,1,88.86,88.86,1,1.0,3,3.0,0,0.0
77586,1,205.05,205.05,2,2.0,17,17.0,1,100.0
21210-2304,1,96.08,96.08,1,1.0,1,1.0,0,0.0
55105-2650,1,262.34,262.34,2,2.0,3,3.0,1,100.0
26537,1,78.18,78.18,1,1.0,1,1.0,0,0.0
55330,1,154.99,154.99,1,1.0,11,11.0,0,0.0
97136,1,60.19,60.19,1,1.0,2,2.0,0,0.0
23518,1,594.0,594.0,7,7.0,7,7.0,1,100.0
77077,1,191.42,191.42,2,2.0,12,12.0,1,100.0
20017,1,129.14,129.14,1,1.0,5,5.0,0,0.0
