Product A,Product B,Times Bought Together,Product A Id,Product A Variation Id,Product B Id,Product B Variation Id
Mountain Top,Nat's Nuts Cinnamon Whiskey Pecans,2,950,0,5350,0
Nat's Nuts Cinnamon Whiskey Pecans,Organic Sourdough Sea Salt Crackers,2,5350,0,5347,0
Nat's Nuts Cinnamon Whiskey Pecans,The Heritage Sampler,2,5350,0,3985,0
Organic Sourdough Sea Salt Crackers,The Heritage Sampler,2,5347,0,3985,0
Organic Sourdough Sea Salt Crackers,White Rock,2,5347,0,4602,0
Parra Jimenez Organic Manchego,Red Leicester,2,12544,0,11909,0
Parra Jimenez Organic Manchego,Wensleydale with Cranberry,2,12544,0,4677,0
The Heritage Sampler,Winter Blues,2,3985,0,3979,0
Wensleydale with Cranberry,White Rock,2,4677,0,4602,0
Wensleydale with Cranberry,White Rock,2,4677,4678,4602,0
All Goat,All Spruced Up — sampler box,1,3990,0,2772,0
All Goat,Barely Blue — sampler box,1,3990,0,2800,0
All Goat,Bloomy Breeze,1,3990,0,940,0
All Goat,Cabra LaMancha,1,3990,0,930,0
All Goat,Carpenter's Wheel,1,3990,0,2078,3933
All Goat,Cradoc's Sea Salted Crackers,1,3990,0,4475,0
All Goat,Merry Goat Round Spruce Reserve,1,3990,0,1903,0
All Goat,Mountain Top,1,3990,0,950,0
All Goat,The Heritage Sampler,1,3990,0,3985,0
All Goat,Wensleydale with Cranberry,1,3990,0,4677,0
All Goat,White Rock,1,3990,0,4602,0
All Spruced Up — sampler box,Cabra LaMancha,1,2772,0,930,0
All Spruced Up — sampler box,Cabra LaMancha,1,2772,0,930,3937
All Spruced Up — sampler box,Carpenter's Wheel,1,2772,0,2078,3933
All Spruced Up — sampler box,Fresh Goat Cheese,1,2772,0,953,0
All Spruced Up — sampler box,Merry Goat Round,1,2772,0,943,0
All Spruced Up — sampler box,Moo & Blue,1,2772,0,934,0
All Spruced Up — sampler box,Moo & Blue,1,2772,0,934,3935
All Spruced Up — sampler box,Mountain Top,1,2772,0,950,0
All Spruced Up — sampler box,The Heritage Sampler,1,2772,0,3985,0
All Spruced Up — sampler box,Wensleydale with Cranberry,1,2772,0,4677,4678
All Spruced Up — sampler box,White Rock,1,2772,0,4602,0
All Spruced Up — sampler box,Winter Blues,1,2772,0,3979,0
Artisan Fruitcake Crisps,Fresh Goat Cheese,1,13478,0,953,0
Artisan Fruitcake Crisps,Merry Goat Round Spruce Reserve,1,13478,0,1903,0
Artisan Fruitcake Crisps,Potter's Organic Winter Wheat Crackers,1,13478,0,12554,0
Barely Blue — sampler box,Black & Blue,1,2800,0,937,3934
Barely Blue — sampler box,Bloomy Breeze,1,2800,0,940,0
Barely Blue — sampler box,Cabra LaMancha,1,2800,0,930,0
Barely Blue — sampler box,Cow's Milk Sampler,1,2800,0,3992,0
Barely Blue — sampler box,Merry Goat Round Spruce Reserve,1,2800,0,1903,0
Barely Blue — sampler box,Wensleydale with Cranberry,1,2800,0,4677,4678
Barnacle Foods Spruce Tip Jelly,FireFly Sampler,1,12713,0,12644,0
Big Picture Farm Chocolate Covered Goat Milk Caramels,Bloomy Breeze,1,4634,0,940,0
Big Picture Farm Chocolate Covered Goat Milk Caramels,Cabra LaMancha,1,4634,0,930,3937
Big Picture Farm Chocolate Covered Goat Milk Caramels,Cave Dweller,1,4634,0,947,3927
Big Picture Farm Chocolate Covered Goat Milk Caramels,Fresh Goat Cheese,1,4634,0,953,0
Big Picture Farm Chocolate Covered Goat Milk Caramels,Honey honey — sampler box,1,4634,0,2802,0
Big Picture Farm Chocolate Covered Goat Milk Caramels,Mountain Top,1,4634,0,950,0
Big Picture Farm Chocolate Covered Goat Milk Caramels,The Heritage Sampler,1,4634,0,3985,0
Big Picture Farm Chocolate Covered Goat Milk Caramels,White Rock,1,4634,0,4602,0
Black & Blue,Coffee Blossom Honey,1,937,0,5388,0
Black & Blue,Herdsman,1,937,0,8385,0
Black & Blue,Shakerag Blue,1,937,0,8383,0
Black & Blue,Cradoc's Sea Salted Crackers,1,937,3934,4475,0
Black & Blue,FireFly Farms Christmas Sampler,1,937,3934,2983,0
Black & Blue,FireFly Farms Online Gift Card - $100,1,937,3934,3156,3727
Black & Blue,Mother's Day Gift Box,1,937,3934,3351,0
Black & Blue,The Heritage Sampler,1,937,3934,3985,0
Black & Blue,Legendary Moo,1,937,0,13261,0
Black & Blue,Nat's Nuts Maple Bourbon Almonds,1,937,0,9520,0
Black & Blue,Nat's Nuts Vanilla Chai Cashews,1,937,0,9518,0
Black & Blue,Parra Jimenez Organic Manchego,1,937,0,12544,0
Blake Hill Gooseberry with Elderflower,Cabra LaMancha,1,13474,0,930,0
Blake Hill Gooseberry with Elderflower,Cave Dweller,1,13474,0,947,0
Blake Hill Gooseberry with Elderflower,Merry Goat Round,1,13474,0,943,0
Blake Hill Gooseberry with Elderflower,West Virginia Cherry-Jalapeño Pepper Jam,1,13474,0,13476,0
Blake Hill Gooseberry with Elderflower,White Rock,1,13474,0,4602,0
Bloomy Breeze,Coffee Blossom Honey,1,940,0,5388,0
Bloomy Breeze,Cow's Milk Sampler,1,940,0,3992,0
Bloomy Breeze,FireFly Farms Christmas Sampler,1,940,0,2983,0
Bloomy Breeze,FireFly Sampler,1,940,0,12644,0
Bloomy Breeze,Green Dirt Prairie Tomme,1,940,0,12550,0
Bloomy Breeze,Honey honey — sampler box,1,940,0,2802,0
Bloomy Breeze,Taste of Fall,1,940,0,2884,0
Bloomy Breeze,Winter Blues,1,940,0,3979,0
Cabra LaMancha,Jumping Jack,1,930,0,7272,0
Cabra LaMancha,Legendary Moo,1,930,0,13261,0
Cabra LaMancha,Nat's Nuts Cinnamon Whiskey Pecans,1,930,0,5350,0
Cabra LaMancha,Parra Jimenez Organic Manchego,1,930,0,12544,0
Cabra LaMancha,Potter's Organic Winter Wheat Crackers,1,930,0,12554,0
Cabra LaMancha,West Virginia Cherry-Jalapeño Pepper Jam,1,930,0,13476,0
Cabra LaMancha,Cow's Milk Sampler,1,930,3937,3992,0
Cabra LaMancha,FireFly Farms Christmas Sampler,1,930,3937,2983,0
Cabra LaMancha,FireFly Farms Online Gift Card - $100,1,930,3937,3156,3727
Cabra LaMancha,Honey honey — sampler box,1,930,3937,2802,0
Cabrita,Herdsman,1,8862,0,8385,0
Cabrita,Shakerag Blue,1,8862,0,8383,0
Cabrita,The Heritage Sampler,1,8862,0,3985,0
Carpenter's Wheel,Coffee Blossom Honey,1,2078,0,5388,0
Carpenter's Wheel,Cow's Milk Sampler,1,2078,0,3992,0
Carpenter's Wheel,Flouwer Co. Artisanal Crackers,1,2078,0,5343,0
Carpenter's Wheel,Green Dirt Prairie Tomme,1,2078,0,12550,0
Carpenter's Wheel,Herdsman,1,2078,0,8385,0
Carpenter's Wheel,Mother's Day Gift Box,1,2078,0,3351,0
Carpenter's Wheel,Nat's Nuts Cinnamon Whiskey Pecans,1,2078,0,5350,0
Carpenter's Wheel,Organic Sourdough Sea Salt Crackers,1,2078,0,5347,0
Carpenter's Wheel,Parra Jimenez Organic Manchego,1,2078,0,12544,0
Carpenter's Wheel,Red Leicester,1,2078,0,11909,0
Carpenter's Wheel,Cow's Milk Sampler,1,2078,3933,3992,0
Carpenter's Wheel,FireFly Farms Online Gift Card - $100,1,2078,3933,3156,3727
Carpenter's Wheel,Honey honey — sampler box,1,2078,3933,2802,0
Carpenter's Wheel,The Heritage Sampler,1,2078,0,3985,0
Cave Dweller,Cow's Milk Sampler,1,947,0,3992,0
Cave Dweller,FireFly Farms Christmas Sampler,1,947,0,2983,0
Cave Dweller,FireFly Sampler,1,947,0,12644,0
Cave Dweller,Herdsman,1,947,0,8385,0
Cave Dweller,Legendary Blue,1,947,0,9201,0
Cave Dweller,Parra Jimenez Organic Manchego,1,947,0,12544,0
Cave Dweller,Potter's Organic Winter Wheat Crackers,1,947,0,12554,0
Cave Dweller,Shakerag Blue,1,947,0,8383,0
Cave Dweller,The Heritage Sampler,1,947,0,3985,0
Cave Dweller,West Virginia Cherry-Jalapeño Pepper Jam,1,947,0,13476,0
Cave Dweller,Wensleydale with Cranberry,1,947,0,4677,0
Cheese Wedge Ornament,FireFly Farms Christmas Sampler,1,12547,0,2983,0
Cheese Wedge Ornament,Parra Jimenez Organic Manchego,1,12547,0,12544,0
Coffee Blossom Honey,Cow's Milk Sampler,1,5388,0,3992,0
Coffee Blossom Honey,Flouwer Co. Artisanal Crackers,1,5388,0,5343,0
Coffee Blossom Honey,Fresh Goat Cheese,1,5388,0,953,0
Coffee Blossom Honey,Merry Goat Round Spruce Reserve,1,5388,0,1903,0
Coffee Blossom Honey,White Rock,1,5388,0,4602,0
Cow's Milk Sampler,Cradoc's Sea Salted Crackers,1,3992,0,4475,0
Cow's Milk Sampler,FireFly Farms Christmas Sampler,1,3992,0,2983,0
Cow's Milk Sampler,Fresh Goat Cheese,1,3992,0,953,0
Cow's Milk Sampler,Nat's Nuts Cinnamon Whiskey Pecans,1,3992,0,5350,0
Cow's Milk Sampler,Organic Sourdough Sea Salt Crackers,1,3992,0,5347,0
Cow's Milk Sampler,Winter Blues,1,3992,0,3979,0
Cradoc's Sea Salted Crackers,Merry Goat Round Spruce Reserve,1,4475,0,1903,0
Cradoc's Sea Salted Crackers,Mountain Top,1,4475,0,950,0
FireFly Farms Christmas Sampler,Honey honey — sampler box,1,2983,0,2802,0
FireFly Farms Christmas Sampler,Merry Goat Round,1,2983,0,943,0
FireFly Farms Christmas Sampler,Moo & Blue,1,2983,0,934,0
FireFly Farms Christmas Sampler,Moo & Blue,1,2983,0,934,3935
FireFly Farms Online Gift Card - $100,Merry Goat Round,1,3156,3727,943,0
FireFly Farms Online Gift Card - $100,Moo & Blue,1,3156,3727,934,3935
FireFly Sampler,Fresh Goat Cheese,1,12644,0,953,0
FireFly Sampler,Potter's Organic Winter Wheat Crackers,1,12644,0,12554,0
Flouwer Co. Artisanal Crackers,Fresh Goat Cheese,1,5343,0,953,0
Fresh Goat Cheese,Herdsman,1,953,0,8385,0
Fresh Goat Cheese,Honey honey — sampler box,1,953,0,2802,0
Fresh Goat Cheese,Jumping Jack,1,953,0,7272,0
Fresh Goat Cheese,Nat's Nuts Cinnamon Whiskey Pecans,1,953,0,5350,0
Fresh Goat Cheese,Nat's Nuts Maple Bourbon Almonds,1,953,0,9520,0
Fresh Goat Cheese,Nat's Nuts Vanilla Chai Cashews,1,953,0,9518,0
Fresh Goat Cheese,Organic Sourdough Sea Salt Crackers,1,953,0,5347,0
Fresh Goat Cheese,Shakerag Blue,1,953,0,8383,0
Fresh Goat Cheese,Wensleydale with Cranberry,1,953,0,4677,0
Fresh Goat Cheese,Wensleydale with Cranberry,1,953,0,4677,4678
Green Dirt Prairie Tomme,White Rock,1,12550,0,4602,0
Herdsman,Jumping Jack,1,8385,0,7272,0
Herdsman,Merry Goat Round Spruce Reserve,1,8385,0,1903,0
Herdsman,Shakerag Blue,1,8385,0,8383,0
Herdsman,White Rock,1,8385,0,4602,0
Honey honey — sampler box,Merry Goat Round,1,2802,0,943,0
Honey honey — sampler box,Merry Goat Round Spruce Reserve,1,2802,0,1903,0
Honey honey — sampler box,Taste of Fall,1,2802,0,2884,0
Jumping Jack,Mountain Top,1,7272,0,950,0
Jumping Jack,Shakerag Blue,1,7272,0,8383,0
Jumping Jack,Nat's Nuts Cinnamon Whiskey Pecans,1,7272,0,5350,0
Jumping Jack,Organic Sourdough Sea Salt Crackers,1,7272,0,5347,0
Legendary Blue,Merry Goat Round,1,9201,0,943,0
Legendary Blue,Merry Goat Round Spruce Reserve,1,9201,0,1903,0
Legendary Blue,Nat's Nuts Cinnamon Whiskey Pecans,1,9201,0,5350,0
Legendary Blue,Organic Sourdough Sea Salt Crackers,1,9201,0,5347,0
Legendary Blue,The Heritage Sampler,1,9201,0,3985,0
Legendary Moo,Merry Goat Round,1,13261,0,943,0
Legendary Moo,Mountain Top,1,13261,0,950,0
Legendary Moo,Parra Jimenez Organic Manchego,1,13261,0,12544,0
Legendary Moo,Red Leicester,1,13261,0,11909,0
Merry Goat Round,Nat's Nuts Maple Bourbon Almonds,1,943,0,9520,0
Merry Goat Round,Nat's Nuts Vanilla Chai Cashews,1,943,0,9518,0
Merry Goat Round,Shakerag Blue,1,943,0,8383,0
Merry Goat Round,Taste of Fall,1,943,0,2884,0
Merry Goat Round,The Heritage Sampler,1,943,0,3985,0
Merry Goat Round,West Virginia Cherry-Jalapeño Pepper Jam,1,943,0,13476,0
Merry Goat Round,Wine Down Wednesday Sampler Box,1,943,0,3152,0
Merry Goat Round,Winter Blues,1,943,0,3979,0
Merry Goat Round Spruce Reserve,Nat's Nuts Cinnamon Whiskey Pecans,1,1903,0,5350,0
Merry Goat Round Spruce Reserve,Potter's Organic Winter Wheat Crackers,1,1903,0,12554,0
Merry Goat Round Spruce Reserve,Shakerag Blue,1,1903,0,8383,0
Merry Goat Round Spruce Reserve,Wensleydale with Cranberry,1,1903,0,4677,4678
Moo & Blue,Red Leicester,1,934,0,11909,0
Mother's Day Gift Box,Mountain Top,1,3351,0,950,0
Mother's Day Gift Box,Shakerag Blue,1,3351,0,8383,0
Mother's Day Gift Box,The Heritage Sampler,1,3351,0,3985,0
